c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
3.24,1.15,4.32,2.51,9953.48,8044.8,14,8,8,5,6664831,1857.87,131533,48.7692
3.08,3.54,2.27,5.47,9953.48,8477.44,14,10,7,6,9766678,1504.37,61128.9,52.097
4.15,1.79,2.11,2.7,9953.48,8739.52,14,8,7,5,5687147,2181.03,146743,48.2939
1.12,4.43,1.36,0.64,9953.48,9448.96,11,9,6,3,1826763,7172,626411,41.9909
1.19,2.64,5.48,2.76,9953.48,9286.4,12,9,8,5,6776235,1846.19,129002,48.8535
4.02,3.04,1.77,0.93,9953.48,8469.76,13,9,6,4,2945850,4082.29,429074,43.6342
4.26,5.02,1.61,2.22,9953.48,6974.08,14,10,7,5,6083395,2152.43,142464,48.4225
0.21,0.87,2.76,0.06,9953.48,9523.49,9,7,6,0,1125714,10688,668227,41.7103
3.15,3.59,0.24,2.42,9953.48,6959.04,14,9,5,5,4728748,3900.61,338042,44.6698
5.14,0.08,2.15,0.92,9953.48,8663.68,14,5,6,4,2436082,5779.16,605960,42.1351
3.52,2.21,4.41,4.19,9953.48,6887.68,15,10,8,6,10784266,1053.47,46324.6,53.3014
4.84,2.16,1.46,4.36,9953.48,6313.6,15,10,7,6,9806582,1508.37,61087.8,52.0999
3.77,3.05,4.22,5.2,9953.48,7936.16,15,10,8,6,10784266,1053.47,46324.6,53.3014
4.15,1.89,1.78,1.82,9953.48,9894.08,14,9,7,4,3678082,3793.02,374187,44.2286
3.52,3.19,3.28,4.34,9953.48,6588.16,15,10,8,6,10784266,1053.47,46324.6,53.3014
2.55,4.26,2.09,2.12,9953.48,7108.8,14,10,7,5,6083395,2152.43,142464,48.4225
2.96,2.87,1.53,3.04,9953.48,8622.08,14,9,7,5,5873010,2151.35,143568,48.3889
2.02,2.51,0.26,3.43,9953.48,8861.44,13,9,5,5,4690459,3884.61,338396,44.6652
1.19,2.81,5.22,1.55,9953.48,9893.12,12,9,8,4,4581307,3662.42,360497,44.3905
2.54,2.82,2.5,3.68,9953.48,9258.88,14,10,8,5,7061079,1818.39,127171,48.9156
2.4,0.22,2.49,5.19,9953.48,8166.4,14,7,7,6,9216497,1650.65,77510.3,51.0659
4.54,0.44,3.32,0.13,9953.48,9913.9,15,7,7,0,2016932,10969,537951,42.6521
5.2,1.19,3.45,0.83,9953.48,7708.16,14,8,7,4,3492219,3807.64,377636,44.1888
4.48,0.34,5.08,0.29,9953.48,8560.64,13,6,7,3,2129487,7027,630193,41.9648
0.28,4.32,0.92,5.53,9953.48,8171.52,11,10,6,6,8965392,2024.04,119267,49.1943
1.36,2.48,0.78,2.48,9953.48,7398.4,13,9,6,5,5140778,2741.68,197256,47.0092
5.53,3.03,4.37,1.55,9953.48,9538.88,14,9,8,4,4655766,3646.42,359579,44.4015
4.63,2.75,4.16,4.01,9953.48,6662.24,15,10,8,6,10784266,1053.47,46324.6,53.3014
3.73,2.34,3.47,2.18,9953.48,8736.32,14,9,7,5,5873010,2151.35,143568,48.3889
2.09,4.56,1.87,2.93,9953.48,8632.96,13,10,7,5,6045106,2180.43,142726,48.4145
1.7,0.89,4.09,4.94,9953.48,7662.72,14,8,8,6,10348114,1211.03,50879.3,52.8941
4.82,0.49,0.2,2.98,9953.48,7578.24,14,7,5,5,4388952,3937.81,353803,44.4719
4.73,1.49,3.08,2.35,9953.48,8880.96,14,8,7,5,5687147,2181.03,146743,48.2939
5.29,0.91,2.48,1.89,9953.48,6960.8,15,8,7,5,5727051,2184.03,146736,48.2941
5,0.58,5.04,0.73,9953.48,8904.96,14,7,7,4,3338286,3755.94,389543,44.0539
4.37,1.1,1.46,0.48,9953.48,8328.32,13,7,6,3,1556021,7076.67,638034,41.9111
4.8,3.63,3.16,3.82,9953.48,6071.04,15,10,8,6,10784266,1053.47,46324.6,53.3014
3.66,1.82,2.57,1.18,9953.48,8631.04,13,8,7,4,3453930,3833.64,377764,44.1873
5.33,0.98,3.13,4.65,9953.48,6700.32,15,9,8,6,10573881,1084.94,47239.8,53.2164
5.23,1.16,2.66,0.23,9953.48,8854.4,13,7,6,3,1556021,7076.67,638034,41.9111
0.76,2.35,3.37,1.2,9953.48,9763.84,11,8,7,4,3384876,3913.64,381368,44.1461
0.62,4.87,2.16,1.36,9953.48,9187.84,11,9,7,4,3570739,3899.02,378082,44.1836
3.07,5.48,1.49,4.74,9953.48,6828.48,14,11,7,6,9998110,1509.66,60890.8,52.114
1.05,4.5,4.65,1.89,9953.48,6894.72,13,10,8,5,7022790,1846.29,127367,48.9089
2.06,4.52,5.46,0.73,9953.48,7074.56,13,9,8,4,4617477,3662.42,359694,44.4002
2.21,2.8,5.32,2.87,9953.48,9459.84,13,9,8,5,6812405,1850.69,128419,48.8732
4.72,1.41,2.03,5.45,9953.48,8096,15,9,7,6,9596197,1454.66,62084.2,52.0297
5.54,0.47,4.4,2.53,9953.48,8092.8,14,7,8,5,6510898,2087.25,143686,48.3854
3.29,3.51,2.32,4.16,9953.48,5949.6,15,10,8,6,10784266,1053.47,46324.6,53.3014
2.41,3.55,0.15,2.22,9953.48,5769.6,13,10,5,5,4900844,3938.77,337178,44.6809
4.56,1.51,3.13,0.22,9953.48,9277.44,13,8,6,3,1709954,7112.62,626140,41.9928
4.57,3.83,2.81,2.07,9953.48,7753.28,14,10,7,5,6083395,2152.43,142464,48.4225
1.03,0.63,5.53,0.44,9953.48,7212.8,12,7,8,3,3191478,6581.93,570346,42.3981
2,4.26,5.01,1.27,9953.48,8985.6,13,9,8,4,4617477,3662.42,359694,44.4002
3.55,0.87,1.59,3.9,9953.48,9894.88,15,9,7,5,5912914,2154.35,143588,48.3883
0.14,0.09,3.03,4.16,9953.48,6031.36,11,6,8,6,9966361,2146.89,112441,49.4503
1.37,4.58,3.87,0.04,9953.48,7329.47,11,9,7,0,2209481,11005.1,526516,42.7454
4.87,1.76,3.32,3.73,9953.48,9867.36,15,9,8,5,6890598,1831.19,128181,48.8813
1.9,2.15,0.41,5.13,9953.48,6704,14,9,6,6,8862350,1978.5,116592,49.2928
4.82,2.9,5.34,4.75,9953.48,8046.4,15,10,8,6,10784266,1053.47,46324.6,53.3014
0.26,2.54,2.2,2.59,9953.48,8340.48,10,9,7,5,5737772,2301.53,159093,47.943
3.54,3.91,1.41,3.47,9953.48,9164.16,14,10,7,5,6083395,2152.43,142464,48.4225
2.56,4.14,4.62,2.25,9953.48,7585.28,14,10,8,5,7061079,1818.39,127171,48.9156
0.93,0.97,1.6,2.06,9953.48,6472.96,12,8,7,5,5612688,2199.03,147538,48.2705
