c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
4.7,1.98,0.17,5.24,11586.2,8691.2,7,6,7,9,21586,2878.37,53.3726,84.0057
4.46,1.57,3.23,3.26,11586.2,11358.7,7,7,9,8,21207,1467.63,31.4755,86.2991
0.14,0.27,3.34,4.1,11586.2,8314.88,4,5,9,9,24027,1809.43,56.9068,83.7272
0.41,2.11,0.55,3.13,11586.2,11243.5,4,6,7,8,14425,3152.32,68.8586,82.8993
4.5,2.28,5.25,4.43,11586.2,8967.68,7,7,10,9,31572,1076.34,23.3232,87.601
2.45,3.16,1.19,3.84,11586.2,8614.4,6,7,8,9,23913,1614.88,36.7337,85.6282
2.55,1.66,3.46,1.06,11586.2,10237.4,6,6,9,7,14922,3046.04,48.7242,84.4014
1.73,0.34,1,1.09,11586.2,10839,5,4,7,7,9028,3954.24,94.2707,81.5351
2.87,0.14,1.69,0.14,11586.2,11258.9,5,4,7,5,5455,9403.42,122.817,80.3863
0.46,1.38,5.01,0.03,11586.2,11208.9,6,7,11,0,21120,62072.3,246.334,77.3636
1.89,0.58,4.04,5.2,11586.2,11133.4,6,5,9,9,24604,1556.83,48.3598,84.434
5.35,3.54,4.13,0.22,11586.2,11015.7,6,7,9,5,12646,9270.57,71.89,82.7122
2.37,3.04,2.09,4.21,11586.2,8614.4,6,7,9,9,26615,1232.9,30.784,86.3956
2.22,3.07,1.66,1.25,11586.2,10659.8,6,7,8,7,13517,3651.63,48.5953,84.4129
0.46,3.01,5.13,3.26,11586.2,11079.7,5,7,10,8,24557,1459.11,32.6209,86.1439
0.71,5.06,0.31,2.67,11586.2,9692.16,5,7,7,8,15868,3275.93,57.1038,83.7122
1.62,3.78,2.6,4.69,11586.2,9815.04,6,7,9,9,26615,1232.9,30.784,86.3956
1.7,0.18,4.25,1.64,11586.2,8514.56,6,5,9,8,18608,1987.22,52.1213,84.1087
0.75,0.6,4.5,1.37,11586.2,11217.9,5,6,9,7,14491,3147.12,51.3612,84.1725
0.84,1.57,3.44,4.63,11586.2,10301.4,5,6,9,9,24887,1556.83,39.331,85.3315
0.62,4.87,2.16,1.36,11586.2,10593.3,5,7,9,7,15788,2875.82,45.4287,84.7055
5,0.58,5.04,0.73,11586.2,10618.9,6,5,9,7,14208,3159.11,60.3415,83.4727
0.88,2.17,5.27,0.46,11586.2,9953.28,5,6,9,7,14491,3147.12,51.3612,84.1725
4.87,1.76,3.32,3.73,11586.2,8743.68,7,7,9,9,27203,1232.9,27.791,86.8398
5.43,4.49,4.68,1.23,11586.2,10305.3,7,7,9,8,21207,1467.63,31.4755,86.2991
0.18,5.5,2.4,0.39,11586.2,11294.7,3,7,8,6,10868,5619.68,75.0937,82.5228
1.19,2.85,3.06,1.03,11586.2,10880,5,6,9,7,14491,3147.12,51.3612,84.1725
2.7,1.02,4.05,4.64,11586.2,10634.2,6,6,9,9,25318,1556.83,36.6919,85.6331
4.56,1.51,3.13,0.22,11586.2,9523.2,6,6,9,5,11349,9237.37,77.7798,82.3702
2.4,0.22,2.49,5.19,11586.2,8929.28,6,5,9,9,24604,1556.83,48.3598,84.434
2.37,3.47,4.5,0.15,11586.2,11225.6,6,6,9,5,11349,9237.37,77.7798,82.3702
2.1,1.01,5.42,1.66,11586.2,10521.6,6,6,9,8,19322,1632.33,40.3828,85.2169
4.5,1.54,3.2,4.95,11586.2,10498.6,7,6,9,9,25906,1556.83,33.7102,86.0012
3.48,3.61,2.94,3.05,11586.2,11550.7,7,7,9,8,21207,1467.63,31.4755,86.2991
5.31,3.01,2.21,5.41,11586.2,10023.7,7,7,9,9,27203,1232.9,27.791,86.8398
2.83,1.31,3.14,2.36,11586.2,10114.6,6,6,9,8,19322,1632.33,40.3828,85.2169
3.94,4.01,4.13,5.19,11586.2,9986.56,7,7,10,9,31572,1076.34,23.3232,87.601
3.48,3.54,2.62,4.16,11586.2,9200.64,7,7,9,9,27203,1232.9,27.791,86.8398
3.1,0.03,0.85,1.64,11586.2,11238.4,6,3,7,7,9272,4763.95,100.993,81.2359
4.34,3.66,3.96,1.51,11586.2,9576.96,7,7,9,8,21207,1467.63,31.4755,86.2991
1.91,4.3,0.25,3.24,11586.2,10839,5,7,7,8,15868,3275.93,57.1038,83.7122
3.06,0.28,4.03,2.07,11586.2,9722.88,6,5,9,8,18608,1987.22,52.1213,84.1087
4.25,5.1,2.7,2.43,11586.2,11440.6,6,7,9,8,20619,1504.38,34.4673,85.9048
