c0,c1,Requested_tolerance,estimated_error,l0,l1,Total_retrieve_size,MaxErr,MSE,PSNR
4.26,1.93,1.0152,0.74875,11,9,8414576,0.264094,0.00177291,47.6442
2.62,1.49,1.0152,0.90875,11,8,7193390,0.567064,0.00599177,42.3555
2.43,4.11,1.0152,0.665625,11,10,9679894,0.164651,0.000719574,51.5603
1.61,3.52,1.0152,0.64125,10,10,9325035,0.168592,0.00136684,48.7739
0.12,0.2,1.0152,0.64,6,6,3343442,2.84203,0.412162,23.9804
0.55,4.69,1.0152,0.86125,8,10,8616824,0.409134,0.0176195,37.6711
0.19,3.66,1.0152,0.6475,7,10,8265629,0.789651,0.0584071,32.4664
0.36,2.2,1.0152,0.73,8,9,7351506,0.546387,0.0186286,37.4293
4.76,0.81,1.0152,0.95875,12,7,6447425,0.993276,0.0204212,37.0302
1.57,5,1.0152,0.82125,10,10,9325035,0.168592,0.00136684,48.7739
4.22,5.31,1.0152,0.9275,11,10,9679894,0.164651,0.000719574,51.5603
5.44,3.81,1.0152,0.64625,12,10,10035252,0.133401,0.000410897,53.9937
3.3,1.51,1.0152,0.96125,11,8,7193390,0.567064,0.00599177,42.3555
1.85,0.48,1.0152,0.71125,10,7,5737208,1.05578,0.0213584,36.8354
0.37,5.05,1.0152,0.81625,8,10,8616824,0.409134,0.0176195,37.6711
4.67,3.47,1.0152,1.01344,12,9,8769934,0.269401,0.00145703,48.4964
1.73,3.09,1.0152,0.98875,10,9,8059717,0.326594,0.00240575,46.3186
1.97,3.12,1.0152,0.903125,11,9,8414576,0.264094,0.00177291,47.6442
1.03,3.13,1.0152,0.91125,10,9,8059717,0.326594,0.00240575,46.3186
3.73,2.87,1.0152,0.950625,11,9,8414576,0.264094,0.00177291,47.6442
0.51,5.39,1.0152,0.92875,8,10,8616824,0.409134,0.0176195,37.6711
2.06,5.01,1.0152,0.88375,10,10,9325035,0.168592,0.00136684,48.7739
4.69,4.5,1.0152,0.855625,11,10,9679894,0.164651,0.000719574,51.5603
5.3,2.56,1.0152,0.97125,11,9,8414576,0.264094,0.00177291,47.6442
2.49,5.44,1.0152,0.99125,10,10,9325035,0.168592,0.00136684,48.7739
1.23,2.96,1.0152,0.89375,10,9,8059717,0.326594,0.00240575,46.3186
1.16,5.12,1.0152,0.93,9,10,8970750,0.289651,0.00710427,41.6159
2.06,3.47,1.0152,0.99625,11,9,8414576,0.264094,0.00177291,47.6442
4.78,4.19,1.0152,0.673125,12,10,10035252,0.133401,0.000410897,53.9937
1.56,1,1.0152,0.695,10,8,6838531,0.52741,0.00665487,41.8997
4.4,3.95,1.0152,0.76875,11,10,9679894,0.164651,0.000719574,51.5603
0.5,2.8,1.0152,0.95,8,9,7351506,0.546387,0.0186286,37.4293
0.9,0.19,1.0152,0.985,9,5,3452198,3.66193,0.361206,24.5535
3.62,0.98,1.0152,0.71625,11,8,7193390,0.567064,0.00599177,42.3555
4.1,0.07,1.0152,0.81625,11,4,3266826,6.90668,1.03291,19.9904
3.19,3.99,1.0152,0.698125,11,10,9679894,0.164651,0.000719574,51.5603
4.58,2.27,1.0152,0.85375,11,9,8414576,0.264094,0.00177291,47.6442
2.52,3.81,1.0152,0.63375,11,10,9679894,0.164651,0.000719574,51.5603
2.6,0.16,1.0152,0.965,10,5,3806483,3.66193,0.355178,24.6266
0.89,2.74,1.0152,0.9075,9,9,7705432,0.328673,0.00817185,41.0079
2.02,0.13,1.0152,0.7725,10,5,3806483,3.66193,0.355178,24.6266
5.17,3.84,1.0152,0.641562,12,10,10035252,0.133401,0.000410897,53.9937
2.3,3.38,1.0152,0.98875,11,9,8414576,0.264094,0.00177291,47.6442
0.04,3.13,1.0152,0.9425,5,9,6354406,2.79478,1.01465,20.0679
4.77,4.74,1.0152,0.890625,11,10,9679894,0.164651,0.000719574,51.5603
2.04,0.96,1.0152,0.735,10,8,6838531,0.52741,0.00665487,41.8997
0.56,0.07,1.0152,0.84,8,4,2203756,6.83696,1.05147,19.9131
2.1,1.49,1.0152,1.0075,10,8,6838531,0.52741,0.00665487,41.8997
4.21,1.03,1.0152,0.778125,11,8,7193390,0.567064,0.00599177,42.3555
3.29,4.8,1.0152,0.805625,11,10,9679894,0.164651,0.000719574,51.5603
1.4,2.77,1.0152,0.8675,10,9,8059717,0.326594,0.00240575,46.3186
5.04,2.4,1.0152,0.915,11,9,8414576,0.264094,0.00177291,47.6442
2.53,4.5,1.0152,0.720625,11,10,9679894,0.164651,0.000719574,51.5603
3,1.62,1.0152,0.9975,11,8,7193390,0.567064,0.00599177,42.3555
2.42,1.06,1.0152,0.8325,10,8,6838531,0.52741,0.00665487,41.8997
5.1,3.34,1.0152,0.994375,12,9,8769934,0.269401,0.00145703,48.4964
2.85,1.76,1.0152,0.618125,11,9,8414576,0.264094,0.00177291,47.6442
4.56,1.68,1.0152,0.9825,12,8,7548748,0.535814,0.00569089,42.5793
2.75,2.82,1.0152,0.876875,11,9,8414576,0.264094,0.00177291,47.6442
5.21,2.8,1.0152,0.862812,12,9,8769934,0.269401,0.00145703,48.4964
0.35,2.9,1.0152,0.9,8,9,7351506,0.546387,0.0186286,37.4293
1.6,3.1,1.0152,0.975,10,9,8059717,0.326594,0.00240575,46.3186
4.7,0.1,1.0152,0.69375,11,5,4161342,3.66193,0.354681,24.6327
1.43,3.35,1.0152,0.5975,10,10,9325035,0.168592,0.00136684,48.7739
3.7,1.8,1.0152,0.68125,11,9,8414576,0.264094,0.00177291,47.6442
4.43,1.88,1.0152,0.608437,12,9,8769934,0.269401,0.00145703,48.4964
4.07,0.49,1.0152,0.744375,11,7,6092067,0.993276,0.0207483,36.9612
4.93,2.95,1.0152,0.891563,12,9,8769934,0.269401,0.00145703,48.4964
2.75,1.51,1.0152,0.926875,11,8,7193390,0.567064,0.00599177,42.3555
1.21,4.08,1.0152,0.66125,10,10,9325035,0.168592,0.00136684,48.7739
5.09,3.22,1.0152,0.964063,12,9,8769934,0.269401,0.00145703,48.4964
0.96,3.81,1.0152,0.71625,9,10,8970750,0.289651,0.00710427,41.6159
3.62,2.73,1.0152,0.90875,11,9,8414576,0.264094,0.00177291,47.6442
0.81,3,1.0152,0.9525,9,9,7705432,0.328673,0.00817185,41.0079
1.4,3.64,1.0152,0.63,10,10,9325035,0.168592,0.00136684,48.7739
4.32,2.33,1.0152,0.8525,11,9,8414576,0.264094,0.00177291,47.6442
3.19,3.7,1.0152,0.661875,11,10,9679894,0.164651,0.000719574,51.5603
3.79,4.54,1.0152,0.804375,11,10,9679894,0.164651,0.000719574,51.5603
2.24,3.9,1.0152,0.6275,11,10,9679894,0.164651,0.000719574,51.5603
3.76,3.93,1.0152,0.72625,11,10,9679894,0.164651,0.000719574,51.5603
2.17,2.42,1.0152,0.87625,10,9,8059717,0.326594,0.00240575,46.3186
1.45,0.22,1.0152,0.62125,10,6,4739515,2.04954,0.0683541,31.7834
2.69,4.74,1.0152,0.760625,11,10,9679894,0.164651,0.000719574,51.5603
0.49,2.99,1.0152,0.9925,8,9,7351506,0.546387,0.0186286,37.4293
0.7,1.21,1.0152,0.955,8,8,6130320,0.678407,0.0229389,36.5253
4.78,3.95,1.0152,0.643125,12,10,10035252,0.133401,0.000410897,53.9937
4.02,3.15,1.0152,0.913125,12,9,8769934,0.269401,0.00145703,48.4964
4.72,1.82,1.0152,0.6025,12,9,8769934,0.269401,0.00145703,48.4964
2.22,0.3,1.0152,0.8775,10,6,4739515,2.04954,0.0683541,31.7834
0.98,3.94,1.0152,0.7375,9,10,8970750,0.289651,0.00710427,41.6159
2.53,3.2,1.0152,0.958125,11,9,8414576,0.264094,0.00177291,47.6442
0.45,5.44,1.0152,0.905,8,10,8616824,0.409134,0.0176195,37.6711
5.48,0.59,1.0152,0.9325,11,7,6092067,0.993276,0.0207483,36.9612
3.3,5.08,1.0152,0.84125,11,10,9679894,0.164651,0.000719574,51.5603
1.02,0.45,1.0152,0.705,9,7,5382923,1.05578,0.027168,35.7905
2.76,4.97,1.0152,0.96625,10,10,9325035,0.168592,0.00136684,48.7739
4.5,1.58,1.0152,0.930625,12,8,7548748,0.535814,0.00569089,42.5793
0.58,4.16,1.0152,0.81,8,10,8616824,0.409134,0.0176195,37.6711
4.04,4.05,1.0152,0.75875,11,10,9679894,0.164651,0.000719574,51.5603
2.76,3.36,1.0152,1.0125,11,9,8414576,0.264094,0.00177291,47.6442
4.59,0.18,1.0152,1.00688,11,5,4161342,3.66193,0.354681,24.6327
3.66,4.92,1.0152,0.84375,11,10,9679894,0.164651,0.000719574,51.5603
4.18,1.54,1.0152,0.900625,12,8,7548748,0.535814,0.00569089,42.5793
3.4,3.53,1.0152,0.65375,11,10,9679894,0.164651,0.000719574,51.5603
1.45,0.16,1.0152,1.0025,9,5,3452198,3.66193,0.361206,24.5535
2.13,0.44,1.0152,0.70625,10,7,5737208,1.05578,0.0213584,36.8354
5.32,1.77,1.0152,0.60875,12,9,8769934,0.269401,0.00145703,48.4964
2.73,5.13,1.0152,0.9825,10,10,9325035,0.168592,0.00136684,48.7739
0.19,3.29,1.0152,1.0125,7,9,7000311,0.817188,0.0595302,32.3837
3.91,3.56,1.0152,0.689375,11,10,9679894,0.164651,0.000719574,51.5603
1.42,3.34,1.0152,1.0125,10,9,8059717,0.326594,0.00240575,46.3186
2.6,5.27,1.0152,0.98375,10,10,9325035,0.168592,0.00136684,48.7739
2.03,5.15,1.0152,0.8975,10,10,9325035,0.168592,0.00136684,48.7739
3.82,4.89,1.0152,0.85,11,10,9679894,0.164651,0.000719574,51.5603
2.96,0.14,1.0152,0.93,10,5,3806483,3.66193,0.355178,24.6266
4.19,3.5,1.0152,1.00594,12,9,8769934,0.269401,0.00145703,48.4964
0.52,1.46,1.0152,0.99,8,8,6130320,0.678407,0.0229389,36.5253
0.35,4.11,1.0152,0.68875,8,10,8616824,0.409134,0.0176195,37.6711
2.77,1.16,1.0152,0.92625,10,8,6838531,0.52741,0.00665487,41.8997
3.53,5.39,1.0152,0.894375,11,10,9679894,0.164651,0.000719574,51.5603
0.73,3.87,1.0152,0.66625,9,10,8970750,0.289651,0.00710427,41.6159
3.24,2.15,1.0152,0.74,11,9,8414576,0.264094,0.00177291,47.6442
1.37,2.43,1.0152,0.95,9,9,7705432,0.328673,0.00817185,41.0079
1.38,2.04,1.0152,0.6825,10,9,8059717,0.326594,0.00240575,46.3186
2.27,2.17,1.0152,0.82625,10,9,8059717,0.326594,0.00240575,46.3186
2.95,1.97,1.0152,0.676875,11,9,8414576,0.264094,0.00177291,47.6442
1.04,3.75,1.0152,0.72875,9,10,8970750,0.289651,0.00710427,41.6159
0.64,5.05,1.0152,0.95125,8,10,8616824,0.409134,0.0176195,37.6711
1.14,2.41,1.0152,0.8875,9,9,7705432,0.328673,0.00817185,41.0079
2.93,3.81,1.0152,0.659375,11,10,9679894,0.164651,0.000719574,51.5603
4.21,1.05,1.0152,0.788125,11,8,7193390,0.567064,0.00599177,42.3555
5.08,0.81,1.0152,0.96875,12,7,6447425,0.993276,0.0204212,37.0302
1.75,5.41,1.0152,0.895,10,10,9325035,0.168592,0.00136684,48.7739
3.92,4.88,1.0152,0.855,11,10,9679894,0.164651,0.000719574,51.5603
5.33,4.9,1.0152,0.945625,11,10,9679894,0.164651,0.000719574,51.5603
4.13,3.98,1.0152,0.755625,11,10,9679894,0.164651,0.000719574,51.5603
4.79,2.04,1.0152,0.659687,12,9,8769934,0.269401,0.00145703,48.4964
2.67,2.93,1.0152,0.899375,11,9,8414576,0.264094,0.00177291,47.6442
2.3,1.87,1.0152,0.61125,11,9,8414576,0.264094,0.00177291,47.6442
0.77,5.38,1.0152,0.865,9,10,8970750,0.289651,0.00710427,41.6159
0.43,2.64,1.0152,0.875,8,9,7351506,0.546387,0.0186286,37.4293
2.66,4.09,1.0152,0.6775,11,10,9679894,0.164651,0.000719574,51.5603
1.96,2.02,1.0152,0.75,10,9,8059717,0.326594,0.00240575,46.3186
1.16,3.62,1.0152,0.5975,10,10,9325035,0.168592,0.00136684,48.7739
3.29,1.56,1.0152,0.985625,11,8,7193390,0.567064,0.00599177,42.3555
2.63,1.55,1.0152,0.939375,11,8,7193390,0.567064,0.00599177,42.3555
2.13,2.78,1.0152,0.96125,10,9,8059717,0.326594,0.00240575,46.3186
1.87,1.84,1.0152,0.69375,10,9,8059717,0.326594,0.00240575,46.3186
5.06,3.23,1.0152,0.965625,12,9,8769934,0.269401,0.00145703,48.4964
2.12,2.69,1.0152,0.9375,10,9,8059717,0.326594,0.00240575,46.3186
3.64,4.18,1.0152,0.75,11,10,9679894,0.164651,0.000719574,51.5603
3.33,4.58,1.0152,0.780625,11,10,9679894,0.164651,0.000719574,51.5603
2.16,3.76,1.0152,0.605,11,10,9679894,0.164651,0.000719574,51.5603
3.68,3.98,1.0152,0.7275,11,10,9679894,0.164651,0.000719574,51.5603
5.01,1.22,1.0152,0.923125,11,8,7193390,0.567064,0.00599177,42.3555
1.26,2.19,1.0152,0.8625,9,9,7705432,0.328673,0.00817185,41.0079
1.06,0.12,1.0152,0.745,9,5,3452198,3.66193,0.361206,24.5535
0.95,0.78,1.0152,0.6275,9,8,6484246,0.65241,0.0123607,39.2106
2.42,0.08,1.0152,0.9425,10,4,2911967,6.84418,1.03412,19.9854
3.64,5.25,1.0152,0.88375,11,10,9679894,0.164651,0.000719574,51.5603
